imglist_path,original_test_index
cifar10/test/airplane/0298.png,2979
cifar10/test/airplane/0267.png,2678
cifar10/test/airplane/0501.png,5124
cifar10/test/airplane/0515.png,5242
cifar10/test/airplane/0273.png,2715
cifar10/test/airplane/0529.png,5328
cifar10/test/airplane/0924.png,9273
cifar10/test/airplane/0930.png,9413
cifar10/test/airplane/0703.png,6985
cifar10/test/airplane/0065.png,581
cifar10/test/airplane/0071.png,675
cifar10/test/airplane/0059.png,524
cifar10/test/airplane/0878.png,8884
cifar10/test/airplane/0688.png,6851
cifar10/test/airplane/0844.png,8483
cifar10/test/airplane/0677.png,6739
cifar10/test/airplane/0105.png,1010
cifar10/test/airplane/0663.png,6633
cifar10/test/airplane/0139.png,1323
cifar10/test/airplane/0887.png,8960
cifar10/test/airplane/0313.png,3148
cifar10/test/airplane/0475.png,4824
cifar10/test/airplane/0461.png,4673
cifar10/test/airplane/0307.png,3097
cifar10/test/airplane/0449.png,4510
cifar10/test/airplane/0460.png,4667
cifar10/test/airplane/0306.png,3087
cifar10/test/airplane/0312.png,3117
cifar10/test/airplane/0474.png,4817
cifar10/test/airplane/0138.png,1322
cifar10/test/airplane/0886.png,8941
cifar10/test/airplane/0892.png,8991
cifar10/test/airplane/0104.png,1001
cifar10/test/airplane/0662.png,6629
cifar10/test/airplane/0676.png,6738
cifar10/test/airplane/0110.png,1027
cifar10/test/airplane/0845.png,8485
cifar10/test/airplane/0689.png,6854
cifar10/test/airplane/0851.png,8554
cifar10/test/airplane/0879.png,8894
cifar10/test/airplane/0058.png,522
cifar10/test/airplane/0070.png,667
cifar10/test/airplane/0716.png,7116
cifar10/test/airplane/0702.png,6980
cifar10/test/airplane/0064.png,560
cifar10/test/airplane/0931.png,9415
cifar10/test/airplane/0925.png,9326
cifar10/test/airplane/0919.png,9248
cifar10/test/airplane/0528.png,5327
cifar10/test/airplane/0514.png,5236
cifar10/test/airplane/0272.png,2704
cifar10/test/airplane/0266.png,2674
cifar10/test/airplane/0299.png,2993
cifar10/test/airplane/0270.png,2681
cifar10/test/airplane/0516.png,5253
cifar10/test/airplane/0502.png,5126
cifar10/test/airplane/0264.png,2668
cifar10/test/airplane/0258.png,2589
cifar10/test/airplane/0099.png,946
cifar10/test/airplane/0927.png,9354
cifar10/test/airplane/0714.png,7103
cifar10/test/airplane/0072.png,678
cifar10/test/airplane/0066.png,584
cifar10/test/airplane/0700.png,6966
cifar10/test/airplane/0728.png,7196
cifar10/test/airplane/0847.png,8496
cifar10/test/airplane/0853.png,8572
cifar10/test/airplane/0660.png,6621
cifar10/test/airplane/0106.png,1018
cifar10/test/airplane/0674.png,6717
cifar10/test/airplane/0884.png,8925
cifar10/test/airplane/0648.png,6491
cifar10/test/airplane/0890.png,8970
cifar10/test/airplane/0489.png,5013
cifar10/test/airplane/0304.png,3063
cifar10/test/airplane/0462.png,4686
cifar10/test/airplane/0476.png,4840
cifar10/test/airplane/0310.png,3111
cifar10/test/airplane/0338.png,3421
cifar10/test/airplane/0339.png,3425
cifar10/test/airplane/0477.png,4854
cifar10/test/airplane/0311.png,3112
cifar10/test/airplane/0305.png,3070
cifar10/test/airplane/0463.png,4701
cifar10/test/airplane/0488.png,4991
cifar10/test/airplane/0891.png,8977
cifar10/test/airplane/0649.png,6494
cifar10/test/airplane/0885.png,8935
cifar10/test/airplane/0675.png,6729
cifar10/test/airplane/0661.png,6623
cifar10/test/airplane/0107.png,1022
cifar10/test/airplane/0852.png,8563
cifar10/test/airplane/0846.png,8492
cifar10/test/airplane/0729.png,7209
cifar10/test/airplane/0067.png,602
cifar10/test/airplane/0701.png,6970
cifar10/test/airplane/0715.png,7115
cifar10/test/airplane/0073.png,689
cifar10/test/airplane/0098.png,944
cifar10/test/airplane/0926.png,9333
cifar10/test/airplane/0932.png,9439
cifar10/test/airplane/0259.png,2594
cifar10/test/airplane/0503.png,5144
cifar10/test/airplane/0265.png,2672
cifar10/test/airplane/0517.png,5255
cifar10/test/airplane/0249.png,2473
cifar10/test/airplane/0513.png,5225
cifar10/test/airplane/0275.png,2724
cifar10/test/airplane/0261.png,2614
cifar10/test/airplane/0507.png,5173
cifar10/test/airplane/0088.png,868
cifar10/test/airplane/0936.png,9482
cifar10/test/airplane/0922.png,9271
cifar10/test/airplane/0739.png,7373
cifar10/test/airplane/0077.png,774
cifar10/test/airplane/0711.png,7077
cifar10/test/airplane/0705.png,7010
cifar10/test/airplane/0063.png,539
cifar10/test/airplane/0842.png,8471
cifar10/test/airplane/0856.png,8638
cifar10/test/airplane/0659.png,6619
cifar10/test/airplane/0881.png,8903
cifar10/test/airplane/0895.png,9017
cifar10/test/airplane/0103.png,989
cifar10/test/airplane/0665.png,6644
cifar10/test/airplane/0671.png,6676
cifar10/test/airplane/0117.png,1078
cifar10/test/airplane/0498.png,5077
cifar10/test/airplane/0329.png,3302
cifar10/test/airplane/0467.png,4763
cifar10/test/airplane/0301.png,3024
cifar10/test/airplane/0315.png,3164
cifar10/test/airplane/0473.png,4809
cifar10/test/airplane/0314.png,3158
cifar10/test/airplane/0472.png,4802
cifar10/test/airplane/0466.png,4759
cifar10/test/airplane/0300.png,3005
cifar10/test/airplane/0499.png,5091
cifar10/test/airplane/0670.png,6663
cifar10/test/airplane/0116.png,1077
cifar10/test/airplane/0102.png,982
cifar10/test/airplane/0664.png,6641
cifar10/test/airplane/0894.png,9008
cifar10/test/airplane/0880.png,8895
cifar10/test/airplane/0857.png,8643
cifar10/test/airplane/0843.png,8476
